stop_pct,target_pct,rsi_low,pullback_touch,max_hold,train_trades,train_winrate,train_expect,test_trades,test_winrate,test_expect,test_payoff,train_score,test_score
0.07,0.08,45,0.015,20,245,39.2,-0.63,320,41.6,-0.58,1.19,-0.09881346187901181,-0.10328401848614863
0.07,0.08,45,0.02,10,257,40.5,-0.79,335,40.3,-0.72,1.19,-0.1267322173006083,-0.13173367924616358
0.07,0.08,45,0.02,15,256,39.8,-0.76,335,40.9,-0.71,1.17,-0.12135524515518026,-0.13008653560743763
0.07,0.08,45,0.02,20,256,38.7,-0.74,335,40.9,-0.68,1.19,-0.1190734578109301,-0.12523976662466396
0.07,0.08,45,0.03,10,282,40.1,-0.89,361,39.6,-0.84,1.18,-0.14875134467626752,-0.16022612139879486
0.07,0.08,45,0.03,15,280,39.6,-0.84,361,40.7,-0.76,1.17,-0.14052432961061,-0.14499364847063032
0.07,0.08,45,0.03,20,280,38.6,-0.83,361,40.7,-0.74,1.18,-0.1383425235991981,-0.14032467805058768
0.07,0.1,35,0.015,10,245,37.1,-0.73,320,39.1,-0.17,1.49,-0.11376921559155075,-0.031283038795718296
0.07,0.1,35,0.015,15,244,35.2,-0.66,320,38.4,-0.15,1.54,-0.10311849344741744,-0.02737999121494108
0.07,0.1,35,0.015,20,244,33.6,-0.72,320,38.4,-0.15,1.54,-0.11209456082435984,-0.025950838428066263
0.07,0.1,35,0.02,10,256,37.1,-0.81,335,38.5,-0.3,1.47,-0.1301655501872584,-0.05432284211302
0.07,0.1,35,0.02,15,255,34.9,-0.79,335,37.9,-0.28,1.52,-0.12537598340112044,-0.05191982050083574
0.07,0.1,35,0.02,20,255,33.3,-0.8,335,37.6,-0.29,1.54,-0.12834297857278465,-0.052457504678600275
0.07,0.1,35,0.03,10,281,36.7,-0.9,361,38.0,-0.41,1.46,-0.1507629780632859,-0.07762628520328077
0.07,0.1,35,0.03,15,279,34.8,-0.87,361,38.0,-0.31,1.51,-0.14464516540236944,-0.05811209044912737
0.07,0.1,35,0.03,20,279,33.3,-0.87,361,37.7,-0.31,1.53,-0.14562301819488216,-0.058630050254975245
0.07,0.1,40,0.015,10,245,37.1,-0.73,320,39.1,-0.17,1.49,-0.11376921559155075,-0.031283038795718296
0.07,0.1,40,0.015,15,244,35.2,-0.66,320,38.4,-0.15,1.54,-0.10311849344741744,-0.02737999121494108
0.07,0.1,40,0.015,20,244,33.6,-0.72,320,38.4,-0.15,1.54,-0.11209456082435984,-0.025950838428066263
0.07,0.1,40,0.02,10,256,37.1,-0.81,335,38.5,-0.3,1.47,-0.1301655501872584,-0.05432284211302
0.07,0.1,40,0.02,15,255,34.9,-0.79,335,37.9,-0.28,1.52,-0.12537598340112044,-0.05191982050083574
0.07,0.1,40,0.02,20,255,33.3,-0.8,335,37.6,-0.29,1.54,-0.12834297857278465,-0.052457504678600275
0.07,0.1,40,0.03,10,281,36.7,-0.9,361,38.0,-0.41,1.46,-0.1507629780632859,-0.07762628520328077
0.07,0.1,40,0.03,15,279,34.8,-0.87,361,38.0,-0.31,1.51,-0.14464516540236944,-0.05811209044912737
0.07,0.1,40,0.03,20,279,33.3,-0.87,361,37.7,-0.31,1.53,-0.14562301819488216,-0.058630050254975245
0.07,0.1,45,0.015,10,245,37.1,-0.73,320,39.1,-0.17,1.49,-0.11376921559155075,-0.031283038795718296
0.07,0.1,45,0.015,15,244,35.2,-0.66,320,38.4,-0.15,1.54,-0.10311849344741744,-0.02737999121494108
0.07,0.1,45,0.015,20,244,33.6,-0.72,320,38.4,-0.15,1.54,-0.11209456082435984,-0.025950838428066263
0.07,0.1,45,0.02,10,256,37.1,-0.81,335,38.5,-0.3,1.47,-0.1301655501872584,-0.05432284211302
0.07,0.1,45,0.02,15,255,34.9,-0.79,335,37.9,-0.28,1.52,-0.12537598340112044,-0.05191982050083574
0.07,0.1,45,0.02,20,255,33.3,-0.8,335,37.6,-0.29,1.54,-0.12834297857278465,-0.052457504678600275
0.07,0.1,45,0.03,10,281,36.7,-0.9,361,38.0,-0.41,1.46,-0.1507629780632859,-0.07762628520328077
0.07,0.1,45,0.03,15,279,34.8,-0.87,361,38.0,-0.31,1.51,-0.14464516540236944,-0.05811209044912737
0.07,0.1,45,0.03,20,279,33.3,-0.87,361,37.7,-0.31,1.53,-0.14562301819488216,-0.058630050254975245
0.07,0.15,35,0.015,10,245,32.7,-0.75,319,35.7,0.14,1.86,-0.11717730206214763,0.024259104629464474
0.07,0.15,35,0.015,15,244,29.9,-0.71,319,32.9,0.28,2.18,-0.11025132352813075,0.05044103969340907
0.07,0.15,35,0.015,20,243,26.3,-0.81,319,32.3,0.39,2.3,-0.12684861170106682,0.07053426350606547
0.07,0.15,35,0.02,10,256,32.8,-0.8,334,35.3,0.01,1.83,-0.12863734034190877,0.0011871049053769408
